Gene Symbol,Gene Ontology Biological Process,Gene Ontology Cellular Component,Gene Ontology Molecular Function,Pathway
BANF1,0009615 // response to virus // traceable author statement /// 0019047 // provirus integration // not recorded /// 0019059 // initiation of viral infection // not recorded /// 0044419 // interspecies interaction between organisms // inferred from electronic annotation,0005634 // nucleus // inferred from electronic annotation /// 0005694 // chromosome // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005829 // cytosol // not recorded,0003677 // DNA binding // inferred from electronic annotation,---
VPS45,0006810 // transport // inferred from electronic annotation /// 0006886 // intracellular protein transport // non-traceable author statement /// 0006904 // vesicle docking during exocytosis // inferred from electronic annotation /// 0015031 // protein transport // inferred from electronic annotation /// 0016192 // vesicle-mediated transport // inferred from electronic annotation,0000139 // Golgi membrane // inferred from electronic annotation /// 0005768 // endosome // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0010008 // endosome membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation,0005515 // protein binding // inferred from electronic annotation,---
EPCAM,0001657 // ureteric bud development // inferred from electronic annotation,0005886 // plasma membrane // traceable author statement /// 0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation /// 0016323 // basolateral plasma membrane // inferred from direct assay /// 0016324 // apical plasma membrane // inferred from direct assay,---,---
HEXA,0001501 // skeletal system development // inferred from electronic annotation /// 0005975 // carbohydrate metabolic process // inferred from electronic annotation /// 0006689 // ganglioside catabolic process // inferred from electronic annotation /// 0007040 // lysosome organization // inferred from electronic annotation /// 0007605 // sensory perception of sound // inferred from electronic annotation /// 0007626 // locomotory behavior // inferred from electronic annotation /// 0007628 // adult walking behavior // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0019915 // lipid storage // inferred from electronic annotation /// 0019953 // sexual reproduction // inferred from electronic annotation /// 0030203 // glycosaminoglycan metabolic process // inferred from electronic annotation /// 0042552 // myelination // inferred from electronic annotation /// 0050884 // neuromuscular process controlling posture // inferred from electronic annotation /// 0050885 // neuromuscular process controlling balance // inferred from electronic annotation,0005764 // lysosome // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation,"0003824 // catalytic activity // inferred from electronic annotation /// 0004553 // hydrolase activity, hydrolyzing O-glycosyl compounds // inferred from electronic annotation /// 0004563 // beta-N-acetylhexosaminidase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016798 // hydrolase activity, acting on glycosyl bonds // inferred from electronic annotation /// 0043169 // cation binding // inferred from electronic annotation /// 0046982 // protein heterodimerization activity // inferred from direct assay",---
C9orf123,---,0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,---,---
TOX4,---,0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005730 // nucleolus // inferred from direct assay /// 0005794 // Golgi apparatus // inferred from direct assay,0003677 // DNA binding // inferred from electronic annotation,---
ISG15,0007267 // cell-cell signaling // non-traceable author statement /// 0009615 // response to virus // inferred from electronic annotation /// 0019941 // modification-dependent protein catabolic process // inferred from electronic annotation /// 0032020 // ISG15-protein conjugation // inferred from direct assay /// 0032020 // ISG15-protein conjugation // inferred from electronic annotation /// 0044419 // interspecies interaction between organisms // inferred from electronic annotation,0005576 // extracellular region // inferred from electronic annotation /// 0005615 // extracellular space // non-traceable author statement /// 0005737 // cytoplasm // non-traceable author statement /// 0005737 // cytoplasm // inferred from electronic annotation,0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0031386 // protein tag // inferred from electronic annotation,---
PPIE,0006397 // mRNA processing // inferred from electronic annotation /// 0006457 // protein folding // inferred from electronic annotation /// 0008380 // RNA splicing // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from mutant phenotype,0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005681 // spliceosomal complex // inferred from electronic annotation,0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // traceable author statement /// 0003723 // RNA binding // inferred from electronic annotation /// 0003755 // peptidyl-prolyl cis-trans isomerase activity // traceable author statement /// 0003755 // peptidyl-prolyl cis-trans isomerase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0016018 // cyclosporin A binding // traceable author statement /// 0016853 // isomerase activity // inferred from electronic annotation,---
ARL3,0007049 // cell cycle // inferred from electronic annotation /// 0007264 // small GTPase mediated signal transduction // inferred from electronic annotation /// 0051301 // cell division // inferred from electronic annotation,0000139 // Golgi membrane // inferred from electronic annotation /// 0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0005819 // spindle // inferred from electronic annotation /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation,0000166 // nucleotide binding // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation /// 0005525 // GTP binding // traceable author statement /// 0019003 // GDP binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation,---
TGOLN2,---,0005634 // nucleus // inferred from direct assay /// 0005730 // nucleolus // inferred from direct assay /// 0005737 // cytoplasm // inferred from direct assay /// 0005794 // Golgi apparatus // inferred from direct assay /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0005802 // trans-Golgi network // inferred from electronic annotation /// 0005802 // trans-Golgi network // traceable author statement /// 0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation /// 0030133 // transport vesicle // traceable author statement /// 0030140 // trans-Golgi network transport vesicle // inferred from electronic annotation,0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation,---
CDH1,0001829 // trophectodermal cell differentiation // inferred from electronic annotation /// 0007155 // cell adhesion // inferred from electronic annotation /// 0007156 // homophilic cell adhesion // non-traceable author statement /// 0007156 // homophilic cell adhesion // inferred from electronic annotation /// 0007416 // synapse assembly // inferred from electronic annotation /// 0009636 // response to toxin // inferred from electronic annotation /// 0010033 // response to organic substance // inferred from electronic annotation /// 0016337 // cell-cell adhesion // inferred from direct assay /// 0019538 // protein metabolic process // inferred from electronic annotation /// 0021983 // pituitary gland development // inferred from electronic annotation /// 0031175 // neuron projection development // inferred from electronic annotation /// 0042493 // response to drug // inferred from electronic annotation /// 0042993 // positive regulation of transcription factor import into nucleus // inferred from direct assay /// 0043281 // regulation of caspase activity // inferred from electronic annotation /// 0051260 // protein homooligomerization // inferred from electronic annotation /// 0060662 // salivary gland cavitation // inferred from electronic annotation /// 0060693 // regulation of branching involved in salivary gland morphogenesis // inferred from electronic annotation /// 0071285 // cellular response to lithium ion // inferred from direct assay,0005737 // cytoplasm // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from direct assay /// 0005886 // plasma membrane // not recorded /// 0005886 // plasma membrane // inferred from direct assay /// 0005886 // plasma membrane // inferred from electronic annotation /// 0005913 // cell-cell adherens junction // inferred from direct assay /// 0005913 // cell-cell adherens junction // inferred from electronic annotation /// 0005925 // focal adhesion // inferred from direct assay /// 0015629 // actin cytoskeleton // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from direct assay /// 0016021 // integral to membrane // inferred from electronic annotation /// 0016323 // basolateral plasma membrane // inferred from electronic annotation /// 0016328 // lateral plasma membrane // inferred from direct assay /// 0016342 // catenin complex // inferred from direct assay /// 0030054 // cell junction // inferred from direct assay /// 0030054 // cell junction // inferred from electronic annotation /// 0043296 // apical junction complex // inferred from direct assay /// 0045177 // apical part of cell // inferred from electronic annotation /// 0048471 // perinuclear region of cytoplasm // inferred from direct assay,0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008013 // beta-catenin binding // inferred from physical interaction /// 0008013 // beta-catenin binding // inferred from electronic annotation /// 0016563 // transcription activator activity // inferred from direct assay /// 0019903 // protein phosphatase binding // inferred from electronic annotation /// 0042153 // RPTP-like protein binding // inferred from electronic annotation /// 0045295 // gamma-catenin binding // inferred from physical interaction /// 0050839 // cell adhesion molecule binding // non-traceable author statement,Cell_cycle_KEGG // GenMAPP
C1orf128,---,---,---,---
RNASET2,0006401 // RNA catabolic process // traceable author statement,0005576 // extracellular region // inferred from electronic annotation /// 0005576 // extracellular region // traceable author statement,0003723 // RNA binding // inferred from electronic annotation /// 0004518 // nuclease activity // inferred from electronic annotation /// 0004519 // endonuclease activity // inferred from electronic annotation /// 0004540 // ribonuclease activity // traceable author statement /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0033897 // ribonuclease T2 activity // inferred from electronic annotation,---
NR2F6,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007165 // signal transduction // traceable author statement /// 0043153 // entrainment of circadian clock by photoperiod // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation /// 0048666 // neuron development // inferred from electronic annotation /// 0050965 // detection of temperature stimulus involved in sensory perception of pain // inferred from electronic annotation",0005634 // nucleus // inferred from electronic annotation,0003677 // DNA binding // traceable author statement /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0003707 // steroid hormone receptor activity // inferred from electronic annotation /// 0003707 // steroid hormone receptor activity // traceable author statement /// 0004872 // receptor activity // inferred from electronic annotation /// 0004879 // ligand-dependent nuclear receptor activity // traceable author statement /// 0004879 // ligand-dependent nuclear receptor activity // inferred from electronic annotation /// 0004887 // thyroid hormone receptor activity // traceable author statement /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation,Nuclear_Receptors // GenMAPP
MTUS1,---,0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005739 // mitochondrion // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0005815 // microtubule organizing center // inferred from electronic annotation /// 0005819 // spindle // inferred from electronic annotation /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005874 // microtubule // inferred from electronic annotation /// 0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation,---,---
PGAP3,0006505 // GPI anchor metabolic process // inferred from mutant phenotype /// 0006506 // GPI anchor biosynthetic process // inferred from electronic annotation,0000139 // Golgi membrane // inferred from electronic annotation /// 0005783 // endoplasmic reticulum // inferred from electronic annotation /// 0005789 // endoplasmic reticulum membrane // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation /// 0031227 // intrinsic to endoplasmic reticulum membrane // inferred from direct assay,"0016788 // hydrolase activity, acting on ester bonds // inferred from mutant phenotype",---
DDAH1,0006525 // arginine metabolic process // inferred from electronic annotation /// 0006527 // arginine catabolic process // traceable author statement /// 0007263 // nitric oxide mediated signal transduction // traceable author statement /// 0045429 // positive regulation of nitric oxide biosynthetic process // inferred from electronic annotation /// 0045766 // positive regulation of angiogenesis // inferred from electronic annotation,0005737 // cytoplasm // inferred from electronic annotation /// 0005739 // mitochondrion // inferred from electronic annotation,"0003824 // catalytic activity // traceable author statement /// 0016403 // dimethylargininase activity // inferred from electronic annotation /// 0016597 // amino acid binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016813 // hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation",---
NAGK,0006044 // N-acetylglucosamine metabolic process // inferred from electronic annotation /// 0006044 // N-acetylglucosamine metabolic process // traceable author statement /// 0006051 // N-acetylmannosamine metabolic process // traceable author statement,0005625 // soluble fraction // inferred from electronic annotation,0000166 // nucleotide binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0009384 // N-acylmannosamine kinase activity // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0045127 // N-acetylglucosamine kinase activity // inferred from electronic annotation,---
PDIA5,0006457 // protein folding // traceable author statement /// 0006950 // response to stress // inferred from sequence or structural similarity /// 0006950 // response to stress // inferred from electronic annotation /// 0045454 // cell redox homeostasis // inferred from electronic annotation /// 0055114 // oxidation reduction // traceable author statement,0005783 // endoplasmic reticulum // inferred from electronic annotation /// 0005788 // endoplasmic reticulum lumen // traceable author statement /// 0005788 // endoplasmic reticulum lumen // inferred from electronic annotation,0003756 // protein disulfide isomerase activity // traceable author statement /// 0003756 // protein disulfide isomerase activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // traceable author statement /// 0016853 // isomerase activity // inferred from electronic annotation,---
PLVAP,---,0005737 // cytoplasm // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005886 // plasma membrane // inferred from electronic annotation /// 0005901 // caveola // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation /// 0048471 // perinuclear region of cytoplasm // inferred from electronic annotation,0042803 // protein homodimerization activity // inferred from electronic annotation,---
CLEC11A,0008284 // positive regulation of cell proliferation // inferred from direct assay,0005576 // extracellular region // inferred from direct assay /// 0005576 // extracellular region // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation,0005488 // binding // inferred from electronic annotation /// 0005529 // sugar binding // non-traceable author statement /// 0005529 // sugar binding // inferred from electronic annotation /// 0008083 // growth factor activity // inferred from direct assay /// 0008083 // growth factor activity // inferred from electronic annotation,---
PURB,"0006350 // transcription // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation /// 0045637 // regulation of myeloid cell differentiation // non-traceable author statement /// 0045892 // negative regulation of transcription, DNA-dependent // inferred from electronic annotation",0005634 // nucleus // inferred from electronic annotation /// 0005662 // DNA replication factor A complex // inferred from sequence or structural similarity,"0000900 // translation repressor activity, nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003690 // double-stranded DNA binding // inferred from electronic annotation /// 0003697 // single-stranded DNA binding // inferred from sequence or structural similarity /// 0003697 // single-stranded DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0003729 // mRNA binding // inferred from sequence or structural similarity /// 0008134 // transcription factor binding // inferred from sequence or structural similarity /// 0016566 // specific transcriptional repressor activity // inferred from electronic annotation /// 0032422 // purine-rich negative regulatory element binding // inferred from electronic annotation /// 0046332 // SMAD binding // inferred from electronic annotation",---
EXOC3,0006810 // transport // inferred from electronic annotation /// 0006887 // exocytosis // inferred from electronic annotation /// 0015031 // protein transport // inferred from electronic annotation,---,---,---
TBC1D5,0032313 // regulation of Rab GTPase activity // inferred from electronic annotation,0005622 // intracellular // inferred from electronic annotation,0005096 // GTPase activator activity // inferred from electronic annotation /// 0005097 // Rab GTPase activator activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction,---
DGCR2,0007155 // cell adhesion // inferred from electronic annotation /// 0009887 // organ morphogenesis // traceable author statement /// 0042493 // response to drug // inferred from electronic annotation,0005792 // microsome // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0004872 // receptor activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005529 // sugar binding // inferred from electronic annotation,---
CCDC80,0010811 // positive regulation of cell-substrate adhesion // inferred from electronic annotation /// 0030198 // extracellular matrix organization // inferred from electronic annotation,0005576 // extracellular region // inferred from electronic annotation /// 0005578 // proteinaceous extracellular matrix // inferred from electronic annotation /// 0005604 // basement membrane // inferred from electronic annotation /// 0005614 // interstitial matrix // inferred from electronic annotation /// 0019031 // viral envelope // inferred from electronic annotation /// 0043231 // intracellular membrane-bounded organelle // inferred from direct assay,0001968 // fibronectin binding // inferred from electronic annotation /// 0008201 // heparin binding // inferred from electronic annotation,---
SOD1,0000187 // activation of MAPK activity // inferred from sequence or structural similarity /// 0000187 // activation of MAPK activity // inferred from electronic annotation /// 0000303 // response to superoxide // inferred from direct assay /// 0001541 // ovarian follicle development // inferred from sequence or structural similarity /// 0001541 // ovarian follicle development // inferred from electronic annotation /// 0001819 // positive regulation of cytokine production // inferred from direct assay /// 0001890 // placenta development // non-traceable author statement /// 0001895 // retina homeostasis // inferred from sequence or structural similarity /// 0001895 // retina homeostasis // inferred from electronic annotation /// 0001975 // response to amphetamine // inferred from electronic annotation /// 0002262 // myeloid cell homeostasis // inferred from sequence or structural similarity /// 0002262 // myeloid cell homeostasis // inferred from electronic annotation /// 0006302 // double-strand break repair // inferred from sequence or structural similarity /// 0006302 // double-strand break repair // inferred from electronic annotation /// 0006309 // DNA fragmentation involved in apoptosis // inferred from sequence or structural similarity /// 0006309 // DNA fragmentation involved in apoptosis // inferred from electronic annotation /// 0006749 // glutathione metabolic process // inferred from sequence or structural similarity /// 0006749 // glutathione metabolic process // inferred from electronic annotation /// 0006801 // superoxide metabolic process // inferred from sequence or structural similarity /// 0006801 // superoxide metabolic process // inferred from electronic annotation /// 0006879 // cellular iron ion homeostasis // inferred from sequence or structural similarity /// 0006879 // cellular iron ion homeostasis // inferred from electronic annotation /// 0006916 // anti-apoptosis // inferred from electronic annotation /// 0006979 // response to oxidative stress // inferred from expression pattern /// 0007283 // spermatogenesis // inferred from sequence or structural similarity /// 0007283 // spermatogenesis // inferred from electronic annotation /// 0007566 // embryo implantation // inferred from sequence or structural similarity /// 0007566 // embryo implantation // non-traceable author statement /// 0007566 // embryo implantation // inferred from electronic annotation /// 0007569 // cell aging // inferred from expression pattern /// 0007569 // cell aging // inferred from mutant phenotype /// 0007605 // sensory perception of sound // inferred from sequence or structural similarity /// 0007605 // sensory perception of sound // inferred from electronic annotation /// 0007626 // locomotory behavior // inferred from sequence or structural similarity /// 0007626 // locomotory behavior // inferred from electronic annotation /// 0008217 // regulation of blood pressure // inferred from sequence or structural similarity /// 0008217 // regulation of blood pressure // inferred from electronic annotation /// 0008219 // cell death // inferred from electronic annotation /// 0009408 // response to heat // inferred from sequence or structural similarity /// 0009408 // response to heat // inferred from electronic annotation /// 0010033 // response to organic substance // inferred from direct assay /// 0019226 // transmission of nerve impulse // inferred from sequence or structural similarity /// 0019226 // transmission of nerve impulse // inferred from electronic annotation /// 0019430 // removal of superoxide radicals // inferred from sequence or structural similarity /// 0019430 // removal of superoxide radicals // inferred from electronic annotation /// 0031667 // response to nutrient levels // inferred from electronic annotation /// 0032287 // myelin maintenance in the peripheral nervous system // inferred from sequence or structural similarity /// 0032287 // myelin maintenance in the peripheral nervous system // inferred from electronic annotation /// 0033081 // regulation of T cell differentiation in the thymus // non-traceable author statement /// 0040014 // regulation of multicellular organism growth // inferred from sequence or structural similarity /// 0040014 // regulation of multicellular organism growth // inferred from electronic annotation /// 0042493 // response to drug // inferred from sequence or structural similarity /// 0042493 // response to drug // inferred from electronic annotation /// 0042542 // response to hydrogen peroxide // inferred from sequence or structural similarity /// 0042542 // response to hydrogen peroxide // inferred from electronic annotation /// 0042554 // superoxide anion generation // inferred from electronic annotation /// 0043065 // positive regulation of apoptosis // inferred by curator /// 0043085 // positive regulation of catalytic activity // inferred from direct assay /// 0043524 // negative regulation of neuron apoptosis // inferred from sequence or structural similarity /// 0043524 // negative regulation of neuron apoptosis // inferred from electronic annotation /// 0045471 // response to ethanol // inferred from sequence or structural similarity /// 0045471 // response to ethanol // inferred from electronic annotation /// 0045541 // negative regulation of cholesterol biosynthetic process // inferred from direct assay /// 0045859 // regulation of protein kinase activity // inferred from direct assay /// 0046620 // regulation of organ growth // non-traceable author statement /// 0046688 // response to copper ion // inferred from electronic annotation /// 0046716 // muscle cell homeostasis // inferred from sequence or structural similarity /// 0046716 // muscle cell homeostasis // inferred from electronic annotation /// 0048538 // thymus development // non-traceable author statement /// 0048678 // response to axon injury // inferred from sequence or structural similarity /// 0048678 // response to axon injury // inferred from electronic annotation /// 0050665 // hydrogen peroxide biosynthetic process // inferred from direct assay /// 0050665 // hydrogen peroxide biosynthetic process // inferred from sequence or structural similarity /// 0050665 // hydrogen peroxide biosynthetic process // inferred from electronic annotation /// 0051881 // regulation of mitochondrial membrane potential // inferred from mutant phenotype /// 0055114 // oxidation reduction // inferred from electronic annotation /// 0060047 // heart contraction // inferred from direct assay /// 0060047 // heart contraction // inferred from electronic annotation /// 0060052 // neurofilament cytoskeleton organization // inferred from sequence or structural similarity /// 0060052 // neurofilament cytoskeleton organization // inferred from electronic annotation /// 0060087 // relaxation of vascular smooth muscle // inferred from sequence or structural similarity /// 0060087 // relaxation of vascular smooth muscle // inferred from electronic annotation /// 0060088 // auditory receptor cell stereocilium organization // inferred from sequence or structural similarity /// 0060088 // auditory receptor cell stereocilium organization // inferred from electronic annotation,0005576 // extracellular region // not recorded /// 0005615 // extracellular space // inferred from direct assay /// 0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005739 // mitochondrion // inferred from direct assay /// 0005739 // mitochondrion // inferred from electronic annotation /// 0005759 // mitochondrial matrix // non-traceable author statement /// 0005777 // peroxisome // non-traceable author statement /// 0005829 // cytosol // not recorded /// 0005829 // cytosol // inferred from direct assay /// 0005886 // plasma membrane // inferred from direct assay /// 0031012 // extracellular matrix // inferred from direct assay /// 0031410 // cytoplasmic vesicle // inferred from direct assay /// 0032839 // dendrite cytoplasm // inferred from direct assay /// 0043025 // neuronal cell body // inferred from direct assay /// 0043025 // neuronal cell body // inferred from electronic annotation /// 0043234 // protein complex // inferred from direct assay,0004784 // superoxide dismutase activity // inferred from direct assay /// 0004784 // superoxide dismutase activity // inferred from electronic annotation /// 0005507 // copper ion binding // inferred from direct assay /// 0005507 // copper ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from direct assay /// 0016209 // antioxidant activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0030346 // protein phosphatase 2B binding // inferred from direct assay /// 0042803 // protein homodimerization activity // non-traceable author statement /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051087 // chaperone binding // inferred from physical interaction /// 0051087 // chaperone binding // inferred from electronic annotation,---
UNC45A,0007275 // multicellular organismal development // inferred from electronic annotation /// 0007517 // muscle organ development // inferred from electronic annotation /// 0030154 // cell differentiation // inferred from electronic annotation,0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0048471 // perinuclear region of cytoplasm // inferred from electronic annotation,0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction,---
NUPR1,0006917 // induction of apoptosis // non-traceable author statement /// 0016049 // cell growth // inferred from direct assay,0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation,---,---
SEC61B,"0000060 // protein import into nucleus, translocation // inferred from mutant phenotype /// 0006810 // transport // inferred from electronic annotation /// 0015031 // protein transport // inferred from electronic annotation /// 0030433 // ER-associated protein catabolic process // inferred from direct assay /// 0030970 // retrograde protein transport, ER to cytosol // inferred from mutant phenotype /// 0055085 // transmembrane transport // inferred from electronic annotation",0005783 // endoplasmic reticulum // inferred from electronic annotation /// 0005789 // endoplasmic reticulum membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // non-traceable author statement /// 0016021 // integral to membrane // inferred from electronic annotation /// 0031205 // endoplasmic reticulum Sec complex // inferred from sequence or structural similarity,0005515 // protein binding // inferred from physical interaction /// 0048408 // epidermal growth factor binding // inferred from physical interaction,---
